City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tindouf,27.6711,-8.1474,73.85,33,0,19.57,DZ,1690433622
83,margaret river,-33.95,115.0667,56.53,69,99,13.15,AU,1690433632
84,al hufuf,25.3646,49.5653,91.74,33,73,0.0,SA,1690433632
85,weno,7.4515,151.8468,82.76,76,47,8.63,FM,1690433632
86,spring creek,40.7266,-115.5859,77.31,19,74,3.85,US,1690433632
87,as sulayyil,20.4607,45.5779,89.85,10,63,9.22,SA,1690433632
88,kulhudhuffushi,6.6221,73.07,83.07,69,99,5.37,MV,1690433632
89,smithers,54.7804,-127.1743,61.12,59,40,6.91,CA,1690433633
90,buckeye,33.3703,-112.5838,108.37,29,0,14.97,US,1690433597
91,east london,-33.0153,27.9116,59.94,77,0,10.36,ZA,1690433487
92,jamestown,42.097,-79.2353,74.79,95,40,8.05,US,1690433585
93,puerto ayora,-0.7393,-90.3518,76.55,93,86,5.99,EC,1690433633
94,crucecita,-28.95,-58.9833,48.81,86,87,5.68,AR,1690433633
95,aasiaat,68.7098,-52.8699,36.97,95,28,9.78,GL,1690433634
96,pirawa,24.1551,76.0273,87.42,67,100,9.86,IN,1690433634
97,le grazie di ancona,43.6008,13.5153,68.58,74,24,2.3,IT,1690433634
98,kailua-kona,19.6406,-155.9956,82.36,84,100,9.22,US,1690433500
99,al fqih ben calah,32.5009,-6.6906,67.1,66,0,7.29,MA,1690433634
100,usogorsk,63.4106,48.6872,67.86,56,100,8.41,RU,1690433634
101,sarykemer,43.0,71.5,89.08,15,1,8.7,KZ,1690433634
102,west island,-12.1568,96.8225,78.78,73,75,24.16,CC,1690433535
103,san carlos de bariloche,-41.1456,-71.3082,36.25,87,100,4.61,AR,1690433425
104,bilibino,68.0546,166.4372,52.41,69,100,3.11,RU,1690433635
105,walvis bay,-22.9575,14.5053,53.1,93,100,10.36,NA,1690433635
106,halikko,60.4,23.0833,57.87,96,68,1.01,FI,1690433635
107,rouyn-noranda,48.2398,-79.0288,62.69,100,40,0.0,CA,1690433635
108,ilulissat,69.2167,-51.1,44.62,76,0,4.61,GL,1690433501
109,luderitz,-26.6481,15.1594,54.1,64,0,6.71,NA,1690433621
110,hamilton,39.1834,-84.5333,83.07,75,100,14.97,US,1690433636
111,sinjai,-5.1241,120.253,82.38,69,23,10.87,ID,1690433636
112,saudarkrokur,65.7461,-19.6394,45.3,89,12,4.34,IS,1690433636
113,puerto leguizamo,-0.1934,-74.7819,77.36,76,99,0.49,CO,1690433637
114,lisakovsk,52.5369,62.4936,76.93,49,4,8.32,KZ,1690433637
115,albany,42.6001,-73.9662,74.73,83,100,5.46,US,1690433518
116,oroqen zizhiqi,50.5667,123.7167,66.96,97,100,4.18,CN,1690433637
117,leava,-14.3,-178.1667,79.43,73,88,12.46,WF,1690433638
118,nemuro,43.3236,145.575,68.81,87,97,7.85,JP,1690433638
119,waiuku,-37.25,174.75,55.33,77,76,15.14,NZ,1690433638
120,san luis de la loma,17.2706,-100.8939,80.4,83,70,4.52,MX,1690433638
121,puerto deseado,-47.7503,-65.8938,32.99,70,77,6.55,AR,1690433434
122,conceicao do araguaia,-8.2578,-49.2647,71.2,45,5,3.0,BR,1690433639
123,lewistown,40.5992,-77.5714,77.81,83,0,0.0,US,1690433639
124,tazacorte,28.629,-17.9293,70.77,86,75,9.22,ES,1690433564
125,garoowe,8.4054,48.4845,76.98,57,29,31.21,SO,1690433639
126,lodja,-3.4833,23.4333,70.03,48,67,0.83,CD,1690433639
127,grand falls-windsor,48.9332,-55.6649,65.5,89,14,6.11,CA,1690433640
128,arrifes,37.7667,-25.7,68.25,88,20,8.05,PT,1690433640
129,kodiak,57.79,-152.4072,56.71,82,40,9.22,US,1690433640
130,kismayo,-0.3582,42.5454,77.72,75,98,16.35,SO,1690433640
131,lienz,46.8289,12.769,50.18,88,20,3.06,AT,1690433640
132,nizhnesortymskiy,62.4397,71.7603,66.63,81,99,7.58,RU,1690433350
133,ulladulla,-35.35,150.4667,70.18,31,0,7.34,AU,1690433532
134,talnakh,69.4865,88.3972,81.21,42,45,4.34,RU,1690433641
135,yellowknife,62.456,-114.3525,72.12,37,40,8.05,CA,1690433641
136,bardai,11.65,7.2333,72.32,82,99,11.92,NG,1690433642
137,angaur state,6.906,134.13,79.29,84,100,24.92,PW,1690433642
138,madang,-5.2246,145.7966,86.22,64,34,5.64,PG,1690433642
139,pariaman,-0.619,100.12,87.85,66,81,5.17,ID,1690433643
140,eldorado,-23.7869,-54.2836,63.07,68,42,4.79,BR,1690433643
141,bonthe,7.5264,-12.505,76.01,91,97,5.39,SL,1690433643
142,ezhva,61.8128,50.7283,58.95,100,75,6.71,RU,1690433643
143,enewetak,11.3474,162.3373,83.39,78,100,14.23,MH,1690433644
144,san pedro pochutla,15.7333,-96.4667,78.71,89,83,5.19,MX,1690433644
145,yemetsk,63.4721,41.7941,57.96,99,100,4.07,RU,1690433644
146,saint-joseph,-21.3667,55.6167,71.47,78,80,10.16,RE,1690433645
147,anka,12.1138,5.9243,77.36,79,88,9.51,NG,1690433645
148,san antonio de pale,-1.4014,5.6325,73.06,90,100,11.27,GQ,1690433645
149,hithadhoo,-0.6,73.0833,83.08,78,29,15.32,MV,1690433646
150,malango,-2.9627,119.9001,82.87,51,29,4.5,ID,1690433646
151,hailey,43.5196,-114.3153,68.88,42,0,9.22,US,1690433646
152,saipan,15.1355,145.701,83.1,100,40,11.5,MP,1690433646
153,santa ana,33.7456,-117.8678,87.31,67,20,8.05,US,1690433446
154,vila franca do campo,37.7167,-25.4333,70.21,88,3,5.97,PT,1690433647
155,teguise,29.0605,-13.564,68.22,68,40,11.5,ES,1690433647
156,acapulco de juarez,16.8634,-99.8901,81.61,85,80,6.58,MX,1690433400
157,minot air force base,48.4209,-101.3391,75.38,66,40,11.5,US,1690433647
158,acarau,-2.8856,-40.12,76.8,88,14,14.85,BR,1690433439
159,pallisa,1.145,33.7094,69.08,66,96,3.38,UG,1690433648
160,gao,16.6362,1.637,90.32,40,34,9.1,ML,1690433648
161,nova vicosa,-17.8919,-39.3719,69.69,77,4,3.22,BR,1690433648
162,port hedland,-20.3167,118.5667,82.45,24,26,5.75,AU,1690433649
163,coquimbo,-29.9533,-71.3436,56.41,88,100,3.24,CL,1690433557
164,aragarcas,-15.8975,-52.2508,74.28,40,24,2.35,BR,1690433649
165,gamba,-2.65,10.0,69.04,96,62,5.39,GA,1690433649
166,nhlangano,-27.1167,31.2,48.51,65,0,4.83,SZ,1690433649
167,tabas,33.5959,56.9244,97.48,15,1,1.3,IR,1690433650
168,haiku-pauwela,20.9219,-156.3051,78.82,80,20,24.16,US,1690433561
169,san patricio,28.017,-97.5169,84.85,77,43,12.8,US,1690433650
170,nuuk,64.1835,-51.7216,45.21,87,100,3.44,GL,1690433651
171,chinde,26.8418,88.0763,74.44,77,88,4.5,NP,1690433651
172,butembo,0.15,29.2833,59.32,83,84,2.44,CD,1690433651
173,zhigalovo,54.8097,105.1578,75.63,51,100,6.76,RU,1690433652
174,whitehorse,60.7161,-135.0538,64.02,79,100,4.61,CA,1690433652
175,weifang,36.71,119.1019,94.93,43,11,9.33,CN,1690433652
176,beatrice,40.2681,-96.747,82.49,83,0,3.44,US,1690433652
177,vorgashor,67.5833,63.95,60.33,83,98,5.19,RU,1690433653
178,kununurra,-15.7667,128.7333,82.38,28,7,6.91,AU,1690433602
179,ati,13.2154,18.3353,78.22,74,100,10.63,TD,1690433653
180,qarqaraly,49.4058,75.4742,81.16,32,100,15.79,KZ,1690433653
181,atafu village,-8.5421,-172.5159,83.64,75,96,18.23,TK,1690433548
182,labytnangi,66.6572,66.4183,64.24,89,100,8.28,RU,1690433654
183,lompoc,34.6391,-120.4579,60.94,95,100,10.36,US,1690433644
184,bethalto,38.9092,-90.0407,87.84,74,100,0.0,US,1690433654
185,alanya,36.5438,31.9998,75.33,41,0,6.13,TR,1690433655
186,nasiriyah,31.0521,46.261,105.55,10,1,10.69,IQ,1690433655
187,quellon,-43.1167,-73.6167,46.65,100,100,5.75,CL,1690433655
188,cuyo,10.8525,121.0086,83.48,77,100,24.61,PH,1690433655
189,arraial do cabo,-22.9661,-42.0278,69.73,90,54,21.88,BR,1690433423
